the_geom,waterway_access,latitude,longitude,boat_ramp_name,asset_owner,contact_number,street,suburb,waterway_name,state,postcode,id,ramp_condition,ramp_material,has_bbq,has_fee_payable,has_kiosk,has_lighting,has_toilets,has_bins,has_pontoon_nearby,has_pontoon_ramp,number_ramp_lanes
0101000020E61000008ACD1CCD2ED662406579A95DC88C41C0,All Times,-35.0998646810065,150.693213039642,Hyams Beach Jervis Bay,Shoalhaven City Council,02 4429 3111,Cyrus Street,Hyams Beach,Jervis Bay,NSW,2540,57,POOR,Sand,true,false,false,false,true,true,false,false,1
0101000020E61000007B5C6971E5C36240D206E31A221C42C0,All Times,-36.2197908028153,150.121758180412,"Taylors, Narooma",Eurobidalla Shire Council,02 6499 2222,Riverside Drive,Narooma,Narooma (Wagonga Inlet),NSW,2546,58,GOOD,Concrete,false,false,true,true,true,true,true,false,1
0101000020E61000001165A94079BD6140E2C43479660E41C0,All Times,-34.1125022418653,141.921051340913,Wentworth Hospital Boat Ramp,Wentworth Shire Council,03 5027 5027,Silver City Highway,Wentworth,Murray River,NSW,2648,59,GOOD,Concrete,false,false,false,true,true,true,false,false,1
0101000020E610000028CA14E5D21A6340A0DEDE6FB4373FC0,All Times,-31.2175970000377,152.838244000058,"Kundabung Boat Ramp",Kempsey Shire Council,02 6566 3200,River Road,Kundabung,Pipers Creek,NSW,2441,60,POOR,Concrete,false,false,false,false,true,false,false,false,1
0101000020E61000005E686F26186C6240D4FA3DBCFF9541C0,Shallow At Times,-35.1718669226299,147.377948014825,"Apex Park Boat Ramp, Lake Albert",Wagga Wagga City Council,1300 292 442,Lake Street ,Lake Albert,Lake Albert,NSW,2650,61,GOOD,Concrete,true,false,false,true,true,false,false,false,1
0101000020E6100000D638D424082B6340B4BB4C5C676F3DC0,All Times,-29.4351709067666,153.344744123932,Yamba Boat Ramp (East Of Fishing Club Ramp),TBD,TBD,Yamba Road,Yamba,Clarence River,NSW,2464,62,FAIR,Concrete,false,false,true,true,false,false,false,false,1
0101000020E61000009BF68D473DDA62400352C058178241C0,High Tide Only,-35.0163374842705,150.819980408928,Warrain Cres Currarong,Shoalhaven City Council,02 4429 3111,Warrain Crescent,Currarong,Currarong Creek,NSW,2540,63,POOR,Sand,false,false,false,false,true,true,false,false,1
0101000020E61000000E0F814736E46240963E29631BFE40C0,Shallow At Times,-33.985210795535,151.131625892704,Kogarah Bay,Kogarah City Council,02 9330 9400,Torwood Street,Sans Souci,Georges River,NSW,2219,64,GOOD,Concrete,false,false,false,false,true,false,false,false,1
0101000020E6100000BC47EEEA47D66240607DB143286541C0,All Times,-34.7902912727975,150.696279015914,Berry Boat Ramp,Shoalhaven City Council,02 4429 3111,Collangata Road,Berry,Broughton Creek,NSW,2535,65,FAIR,Concrete,false,false,false,false,true,true,false,false,1
0101000020E6100000232D50B46DBA6240D0D10B9B906740C0,Shallow At Times,-32.8091005141938,149.825891644091,Windamere Dam,Cudgegong Waters Park,02 6373 0378 ,Cudgegongroad,Windamere Dam,Windamere Dam,NSW,2852,66,GOOD,Concrete,true,true,true,false,true,true,false,false,2
